team,season,conference,win_pcnt,avg_pts,player,games_played,games_started,avg_min_game,pcnt_fg,pcnt_2pt,pcnt_3pt,pcnt_ft,avg_rb_game,avg_ast_game,avg_stl_game,avg_blk_game,avg_to_game,avg_pts_game,coach
hartford,2017,AEC,0.576,70.5,"John Carroll",33,32,31.5,0.469,0.505,0.303,0.715,6.4,2.4,0.5,0.9,2,15.2,"John Gallagher "
stephen-f-austin,2017,Southland,0.8,80.5,"John Comeaux",35,1,13.8,0.467,0.554,0.179,0.608,1.9,1.5,1.3,0.1,0.8,4.2,"Kyle Keller "
texas-pan-american,2017,WAC,0.455,75.5,"John Crnogorac",29,6,10.2,0.512,0.524,0,0.588,1.8,0.2,0.2,0.7,0.7,3.3,"Lew Hill "
dayton,2017,A-10,0.452,72.4,"John Crosby",26,9,14.7,0.395,0.455,0.29,0.806,1.4,1.9,0.2,0,1.2,4.1,"Anthony Grant "
furman,2017,Southern,0.697,79.4,"John Davis",33,32,27.7,0.486,0.554,0.386,0.757,2.7,2.6,1.4,0.1,1.4,11.3,"Bob Richey "
sam-houston-state,2017,Southland,0.583,71.4,"John Dewey III",36,35,29.5,0.351,0.347,0.357,0.841,3.2,4.4,1,0,3,10.1,"Jason Hooten "
california-irvine,2017,"Big West",0.514,69.7,"John Edgar Jr.",35,27,24.3,0.411,0.522,0.273,0.727,4.1,1,0.4,0,1.5,8.4,"Russ Turner "
army,2017,Patriot,0.433,74.3,"John Emezie",29,0,14.3,0.398,0.404,0.391,0.524,1.7,0.8,0.7,0.4,0.8,3.8,"Jimmy Allen "
tennessee,2017,SEC,0.743,73.8,"John Fulkerson",30,1,9.3,0.429,0.429,0,0.727,1.6,0.5,0.5,0.3,0.7,1.7,"Rick Barnes "
southern-illinois,2017,MVC,0.606,69.9,"John Gardner",1,0,1,0,0,0,0,0,0,0,0,0,0,"Barry Hinson "
